"year","season","region","cumulative_gold_medals","cumulative_silver_medals","cumulative_bronze_medals","cumulative_medals"
1968,"Summer","UK",155,196,158,509
1968,"Summer","Czech Republic",36,37,35,108
1968,"Summer","Mexico",6,7,12,25
1968,"Summer","Bulgaria",7,15,10,32
1968,"Summer","Kenya",3,4,3,10
1968,"Summer","Denmark",28,58,48,134
1968,"Summer","Serbia",10,14,7,31
1968,"Summer","Netherlands",35,40,51,126
1968,"Summer","Iran",4,7,13,24
1968,"Summer","Canada",27,36,47,110
1968,"Summer","Switzerland",41,57,50,148
1968,"Summer","Mongolia",0,1,3,4
1968,"Summer","Austria",19,27,31,77
1968,"Summer","Finland",84,70,95,249
1968,"Summer","Cuba",5,7,0,12
1968,"Summer","Sweden",123,118,146,387
1968,"Summer","Brazil",3,2,9,14
1968,"Summer","New Zealand",12,1,9,22
1968,"Summer","Argentina",13,17,13,43
1968,"Summer","South Korea",0,4,7,11
1968,"Summer","Uganda",0,1,1,2
1968,"Summer","Belgium",36,44,43,123
1968,"Summer","Tunisia",1,1,2,4
1968,"Summer","Norway",36,30,31,97
1968,"Summer","Ethiopia",3,1,0,4
1968,"Summer","Turkey",23,11,7,41
1968,"Summer","Venezuela",1,0,2,3
1968,"Summer","Cameroon",0,1,0,1
1968,"Summer","Taiwan",0,1,1,2
1968,"Summer","India",7,3,2,12
1968,"Summer","Pakistan",2,2,1,5
1968,"Summer","Greece",22,35,35,92
1968,"Summer","Jamaica",3,6,0,9
1968,"Winter","Norway",45,42,35,122
1968,"Winter","Russia",29,20,24,73
1968,"Winter","Germany",17,15,15,47
1968,"Winter","Austria",19,27,23,69
1968,"Winter","France",12,8,11,31
1968,"Winter","Netherlands",4,8,4,16
1968,"Winter","Sweden",21,21,21,63
1968,"Winter","Switzerland",11,11,11,33
1968,"Winter","Finland",21,27,21,69
1968,"Winter","USA",24,29,21,74
1968,"Winter","Czech Republic",1,4,3,8
1968,"Winter","Italy",7,3,5,15
1968,"Winter","Canada",10,6,12,28
1968,"Winter","Romania",0,0,1,1
1972,"Summer","Germany",157,204,194,555
1972,"Summer","Russia",212,180,170,562
1972,"Summer","USA",602,442,405,1449
1972,"Summer","Hungary",103,93,103,299
1972,"Summer","Japan",64,58,50,172
1972,"Summer","Poland",31,33,61,125
1972,"Summer","Bulgaria",13,25,15,53
1972,"Summer","UK",159,201,167,527
1972,"Summer","Italy",123,107,101,331
1972,"Summer","Australia",63,53,64,180
1972,"Summer","Romania",18,22,32,72
1972,"Summer","Sweden",127,124,152,403
1972,"Summer","France",140,157,158,455
1972,"Summer","Kenya",5,7,7,19
1972,"Summer","Cuba",8,8,4,20
1972,"Summer","Finland",87,71,99,257
1972,"Summer","Czech Republic",38,41,37,116
1972,"Summer","North Korea",1,1,3,5
1972,"Summer","Netherlands",38,41,52,131
